timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1399004089,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1399023208,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1399042219,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1399076676,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1401274471,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402191249,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402209324,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402228217,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402247965,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402283095,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402300558,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402320244,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402339204,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402392715,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402411962,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402430371,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402465227,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402483786,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402503492,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402521756,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402556882,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402595214,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402614523,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402649119,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402667523,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402686279,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402705614,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402740255,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402758340,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402797268,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402831898,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402851206,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402869213,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402888398,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402922500,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402942076,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402960696,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1402979862,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403014624,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403033569,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403052648,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403071262,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403106620,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403124858,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403144266,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403163217,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403327216,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403345934,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403381357,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403399809,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403418451,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403437941,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403472684,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403491756,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403510456,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403529791,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403565030,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403583702,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403601714,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403621240,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403657942,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403674708,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403693477,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403713020,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403747465,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403767305,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403785111,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403804587,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403838894,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403858501,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403877049,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403895963,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403931074,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403949637,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403968519,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1403987434,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404022290,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404041075,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404059825,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404079037,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404113814,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404133368,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404151904,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404170068,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404223971,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404243486,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404263080,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404297016,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404315891,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404335026,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404354255,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404388718,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404426654,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404447149,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404482795,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404501605,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404520440,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404539667,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404572367,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404591441,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404630004,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404663643,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404682283,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404701671,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404720018,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404755047,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
1404774073,0.0,0.0,0.0,0.70710677,-8.6595606e-17,-8.659561e-17,0.7071068,0.0,0.0,0.0,0.0,0
