timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1398991267,-20.625946,38.25,101573.0,1.2068553
1399014688,-21.376366,38.25,101582.0,1.2069622
1399026258,-20.044636,38.25,101566.0,1.2067721
1399039082,-20.874325,38.25,101575.99,1.2068908
1399062214,-21.873121,38.239998,101588.0,1.2070335
1399074099,-20.12919,38.239998,101567.0,1.206784
1399084274,-20.625946,38.239998,101573.0,1.2068553
1401282290,-21.043432,38.219997,101578.0,1.2069147
1402199731,-20.541391,38.21,101572.0,1.2068434
1402210259,-21.455635,38.21,101582.99,1.206974
1402223932,-20.37757,38.21,101569.99,1.2068195
1402246257,-20.213745,38.21,101568.0,1.2067958
1402259963,-20.874325,38.21,101575.99,1.2068908
1402271707,-22.290607,38.21,101593.0,1.2070929
1402295686,-21.54019,38.21,101584.0,1.206986
1402307985,-20.462122,38.21,101571.0,1.2068315
1402319481,-21.122702,38.21,101579.0,1.2069266
1402343693,-22.454432,38.2,101594.99,1.2071166
1402354292,-21.291811,38.2,101581.0,1.2069503
1402366253,-19.960081,38.2,101565.0,1.2067602
1402390283,-19.880812,38.2,101563.99,1.2067482
1402402259,-21.376366,38.2,101582.0,1.2069622
1402415692,-22.290607,38.2,101593.0,1.2070929
1402440288,-20.874325,38.2,101575.99,1.2068908
1402451741,-22.036945,38.2,101590.0,1.2070572
1402462255,-20.625946,38.2,101573.0,1.2068553
1402484285,-20.7105,38.19,101574.0,1.2068671
1402495687,-21.207256,38.19,101580.0,1.2069384
1402506253,-21.957676,38.19,101588.99,1.2070453
1402533691,-20.541391,38.2,101572.0,1.2068434
1402545257,-20.625946,38.2,101573.0,1.2068553
1402556546,-21.207256,38.2,101580.0,1.2069384
1402580802,-21.54019,38.2,101584.0,1.206986
1402592496,-20.95888,38.2,101576.99,1.2069027
1402605289,-21.207256,38.2,101580.0,1.2069384
1402628782,-20.462122,38.2,101571.0,1.2068315
1402640745,-22.623539,38.2,101597.0,1.2071404
1402651255,-19.796259,38.2,101563.0,1.2067364
1402674253,-21.54019,38.19,101584.0,1.206986
1402685263,-21.54019,38.19,101584.0,1.206986
1402696532,-22.290607,38.19,101593.0,1.2070929
1402720621,-21.709297,38.19,101586.0,1.2070097
1402731259,-21.291811,38.19,101581.0,1.2069503
1402744280,-20.7105,38.19,101574.0,1.2068671
1402767258,-22.454432,38.2,101594.99,1.2071166
1402790269,-21.376366,38.2,101582.0,1.2069622
1402812780,-20.625946,38.2,101573.0,1.2068553
1402824471,-22.206053,38.2,101592.0,1.207081
1402835261,-19.711704,38.2,101562.0,1.2067245
1402858259,-21.207256,38.19,101580.0,1.2069384
1402869253,-21.207256,38.19,101580.0,1.2069384
1402880494,-22.70281,38.19,101598.0,1.2071524
1402904722,-21.207256,38.19,101580.0,1.2069384
1402917287,-21.043432,38.19,101578.0,1.2069147
1402928436,-20.293015,38.19,101569.0,1.2068077
1402952717,-21.291811,38.19,101581.0,1.2069503
1402963255,-20.37757,38.19,101569.99,1.2068195
1402974684,-20.95888,38.19,101576.99,1.2069027
1402997989,-22.206053,38.19,101592.0,1.207081
1403009384,-20.12919,38.19,101567.0,1.206784
1403022296,-20.625946,38.19,101573.0,1.2068553
1403045606,-21.873121,38.18,101588.0,1.2070335
1403057256,-20.462122,38.18,101571.0,1.2068315
