timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
1398989500,0.0,0.0,0.0,-0.001614321,0.0098972395,0.0045900345,0.0,0.0,0.0,-0.071645334,0.0,0.0,-0.014803577,-0.017281054,-0.004439354,0.0,0.0,0.0,0.011487013,0.011487034,0.01256104,0.0,0.0,0.0,0.090275005,0.0,0.0,0.039904896,0.039905112,0.033552516,0.0008405732,0.008395878,0.0065233177,0.0,0.0,0.0,0.0,0.0,0.0
1402175188,0.0,0.0,0.0,-0.0030895662,-0.022333413,0.0004892349,0.0,0.0,0.0,-0.063590795,0.0,0.0,-0.00023160409,-0.005563796,0.006548047,0.0,0.0,0.0,0.011159792,0.011159763,0.012389619,0.0,0.0,0.0,0.090274625,0.0,0.0,0.028841823,0.028842077,0.03383585,0.0008755823,0.0077529354,0.008955365,0.0,0.0,0.0,0.0,0.0,0.0
1402375013,0.0,0.0,0.0,-0.0048555955,0.008071199,0.0030722618,0.0,0.0,0.0,-0.05643657,0.0,0.0,0.019511051,0.006203803,0.001550436,0.0,0.0,0.0,0.011143822,0.011143787,0.012402045,0.0,0.0,0.0,0.09027459,0.0,0.0,0.031087535,0.031087782,0.03387886,0.00078994175,0.005102086,0.0033851555,0.0,0.0,0.0,0.0,0.0,0.0
1402579974,0.0,0.0,0.0,0.0058254623,0.0036298484,0.006618142,0.0,0.0,0.0,-0.075254306,0.0,0.0,0.0039004162,-0.008161627,-0.0011336803,0.0,0.0,0.0,0.011152739,0.011152692,0.012406741,0.0,0.0,0.0,0.09027464,0.0,0.0,0.029284691,0.02928478,0.033914983,0.0010305984,0.016167967,0.01037298,0.0,0.0,0.0,0.0,0.0,0.0
1402784028,0.0,0.0,0.0,0.016410585,-0.007505968,0.002770424,0.0,0.0,0.0,-0.050440457,0.0,0.0,-0.040035453,-0.06051886,0.0042220354,0.0,0.0,0.0,0.01114258,0.011142517,0.012411933,0.0,0.0,0.0,0.090274714,0.0,0.0,0.026552714,0.026552793,0.03394739,0.0009513244,0.008732118,0.0060928734,0.0,0.0,0.0,0.0,0.0,0.0
1402984768,0.0,0.0,0.0,-0.018804101,-0.00270544,0.0053777695,0.0,0.0,0.0,-0.056024488,0.0,0.0,-0.014363865,-0.012941891,0.006020069,0.0,0.0,0.0,0.011134599,0.011134516,0.0124110505,0.0,0.0,0.0,0.09027464,0.0,0.0,0.028295714,0.028295785,0.034011617,0.0007170913,0.007920323,0.006775521,0.0,0.0,0.0,0.0,0.0,0.0
1403188864,0.0,0.0,0.0,-0.011653828,-0.0091242045,0.0045552254,0.0,0.0,0.0,-0.051790882,0.0,0.0,0.027907752,-0.009222879,-0.00016212463,0.0,0.0,0.0,0.011138989,0.011138911,0.012413591,0.0,0.0,0.0,0.09027475,0.0,0.0,0.03246388,0.03246387,0.0343163,0.0009149127,0.008471835,0.0072200974,0.0,0.0,0.0,0.0,0.0,0.0
1403388778,0.0,0.0,0.0,-0.008612694,0.010572121,0.0059554577,0.0,0.0,0.0,-0.03521216,0.0,0.0,0.05121507,-0.0012318855,-0.0021095276,0.0,0.0,0.0,0.0113873985,0.011387334,0.012410604,0.0,0.0,0.0,0.090274766,0.0,0.0,0.032216113,0.032216135,0.0339938,0.0007435799,0.011295441,0.008122804,0.0,0.0,0.0,0.0,0.0,0.0
1403589491,0.0,0.0,0.0,-0.0047943927,0.0020074844,0.0023702383,0.0,0.0,0.0,-0.07875939,0.0,0.0,0.0074824546,-0.01609172,0.00242877,0.0,0.0,0.0,0.011275086,0.011275054,0.012409381,0.0,0.0,0.0,0.09027475,0.0,0.0,0.030575668,0.030575672,0.0339816,0.00082452875,0.005918268,0.0058644623,0.0,0.0,0.0,0.0,0.0,0.0
1403793451,0.0,0.0,0.0,0.02185127,0.0048087835,0.004115224,0.0,0.0,0.0,-0.055330537,0.0,0.0,-0.004838582,0.00032301387,0.00069725513,0.0,0.0,0.0,0.011168354,0.011168338,0.01241059,0.0,0.0,0.0,0.090274885,0.0,0.0,0.031978928,0.031978976,0.034010284,0.00084331795,0.009185317,0.005904007,0.0,0.0,0.0,0.0,0.0,0.0
1403998418,0.0,0.0,0.0,0.021220438,-0.0049355477,0.010494709,0.0,0.0,0.0,-0.04915512,0.0,0.0,-0.0038280012,0.009088311,-0.003918767,0.0,0.0,0.0,0.0111336,0.011133591,0.01240817,0.0,0.0,0.0,0.09027501,0.0,0.0,0.031402953,0.031403054,0.034054194,0.0008999703,0.013804515,0.0120594865,0.0,0.0,0.0,0.0,0.0,0.0
