timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
1399093552,0,0.0,0.0,0.010654281,0.1156867,-1.3110232,0.02383122,0.010340691,0.0,-0.0069400095,-0.00836,-0.0073493053,-0.004588739,0.05572702,-0.0678173,0.0,0.2815942,-0.8405918,1.404262,-0.07179629,0.0,1.4080127,0.0073493053,0.05008883,0.047389492,0.11309792,0.06694507,inf,inf,0.3,3.75,1,1,1,1,77,0,75,75,0,0,1
1401293429,0,0.0,0.0,-0.0020349901,0.1542272,-1.3442975,0.020823196,0.007518366,0.0,0.013277713,0.013427511,0.0013437553,-0.007652928,0.007006135,-0.05014183,0.0,-0.69447565,0.31495866,-0.14506018,-0.0117621925,0.0,1.4470005,-0.0013437553,0.050912123,0.04866301,0.121843874,0.06788975,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1402279176,0,0.0,0.0,-0.00695725,0.17427757,-1.3491899,0.020823196,0.007518366,0.0,0.006444428,0.002933973,0.004515179,-0.003148226,0.007006135,-0.05014183,0.0,-0.099774376,-0.29250595,0.586061,-0.016760668,0.0,1.4532175,-0.004515179,0.047680374,0.045472536,0.091635756,0.06618505,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1402483184,0,0.0,0.0,-0.004574368,0.17561142,-1.3506635,0.020823196,0.007518366,0.0,0.01239249,-0.012282543,0.002571909,-0.005300884,0.007006135,-0.05014183,0.0,0.79276276,0.3927406,-0.40901735,-0.01558095,0.0,1.4548641,-0.002571909,0.046300355,0.045518696,0.09034503,0.066136606,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1402584035,0,0.0,0.0,-0.0018214107,0.17137747,-1.3514025,0.020823196,0.007518366,0.0,0.017589498,-0.026001083,0.009196543,0.0011352319,0.007006135,-0.05014183,0.0,1.4294227,-0.19337091,2.8498394,-0.013329823,0.0,1.4564908,-0.009196543,0.046460643,0.04515554,0.09028633,0.0658161,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1402684014,0,0.0,0.0,0.0006771386,0.16557238,-1.3522378,0.020823196,0.007518366,0.0,0.015555806,-0.03299404,0.0037523601,-0.004673507,0.007006135,-0.05014183,0.0,-0.58324206,-0.75171393,-0.77389556,-0.010770787,0.0,1.458692,-0.0037523601,0.047134075,0.04519489,0.09075217,0.0658252,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1402888009,0,0.0,0.0,0.0010733489,0.1552389,-1.3539817,0.020823196,0.007518366,0.0,0.00981923,-0.030346578,0.0064878184,-0.0027034176,0.007006135,-0.05014183,0.0,0.006977035,0.14961445,-0.000530917,-0.009465913,0.0,1.4643319,-0.0064878184,0.045444332,0.044817034,0.08845345,0.065464295,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1403088625,0,0.0,0.0,0.003090297,0.14754713,-1.3563617,0.020823196,0.007518366,0.0,0.006436099,-0.016766658,0.0072648283,-0.0032446864,0.007006135,-0.05014183,0.0,0.08990398,0.10410293,-0.26287237,-0.011406688,0.0,1.4598691,-0.0072648283,0.04640957,0.04443717,0.08903055,0.065120086,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1403292616,0,0.0,0.0,0.009579515,0.1462646,-1.3577539,0.020823196,0.007518366,0.0,0.010449831,-0.0014326355,0.0068424367,-0.003973328,0.007006135,-0.05014183,0.0,-0.793581,0.72366065,-1.2002066,-0.013955804,0.0,1.460443,-0.0068424367,0.050466668,0.04444914,0.09195113,0.065115824,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
1403392772,0,0.0,0.0,0.012813403,0.14602527,-1.3580984,0.020823196,0.007518366,0.0,0.012215004,0.002528945,0.00862839,-0.00207925,0.007006135,-0.05014183,0.0,0.31802076,0.40105823,-0.15812159,-0.014738568,0.0,1.4624373,-0.00862839,0.049362693,0.044072375,0.0896714,0.06480438,inf,inf,0.3,3.75,1,1,1,1,79,0,77,77,0,0,1
