timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
1398981427,15.054264,15.071418,0.0,0.0,0.0,0.0,0.6008852,1.0573789,0.0,4,0,0,0,0,0,1,1,0,0,0
1402167010,15.032104,15.04922,0.0,0.0,0.0,0.0,0.6026896,1.0589561,0.0,4,0,0,0,0,0,1,1,0,0,0
1402671919,15.076425,15.042614,0.0,0.0,0.0,0.0,0.60294914,1.0594271,0.0,4,0,0,0,0,0,1,1,0,0,0
1403176578,15.01733,15.04963,0.0,0.0,0.0,0.0,0.60321283,1.058971,0.0,4,0,0,0,0,0,1,1,0,0,0
1403669594,15.024717,15.044937,0.0,0.0,0.0,0.0,0.603466,1.0592763,0.0,4,0,0,0,0,0,1,1,0,0,0
1404174183,15.032104,15.041701,0.0,0.0,0.0,0.0,0.6037191,1.0595063,0.0,4,0,0,0,0,0,1,1,0,0,0
1404678984,15.039491,15.037689,0.0,0.0,0.0,0.0,0.603967,1.0597544,0.0,4,0,0,0,0,0,1,1,0,0,0
1405171900,15.002557,15.030255,0.0,0.0,0.0,0.0,0.60420465,1.0602272,0.0,4,0,0,0,0,0,1,1,0,0,0
1405677503,15.032104,15.028455,0.0,0.0,0.0,0.0,0.60443765,1.0603637,0.0,4,0,0,0,0,0,1,1,0,0,0
1406182363,15.009943,15.025179,0.0,0.0,0.0,0.0,0.60466826,1.0605668,0.0,4,0,0,0,0,0,1,1,0,0,0
1406674972,14.99517,15.028883,0.0,0.0,0.0,0.0,0.6048945,1.0602986,0.0,4,0,0,0,0,0,1,1,0,0,0
1407179793,15.002557,15.025588,0.0,0.0,0.0,0.0,0.60511947,1.0605314,0.0,4,0,0,0,0,0,1,1,0,0,0
1407684766,14.921302,15.021171,0.0,0.0,0.0,0.0,0.6053465,1.0608351,0.0,4,0,0,0,0,0,1,1,0,0,0
1408177551,15.002557,15.015743,0.0,0.0,0.0,0.0,0.60555536,1.0611484,0.0,4,0,0,0,0,0,1,1,0,0,0
1408682326,15.024717,15.013747,0.0,0.0,0.0,0.0,0.60576683,1.0613014,0.0,4,0,0,0,0,0,1,1,0,0,0
1409187129,15.009943,15.011327,0.0,0.0,0.0,0.0,0.605975,1.0615058,0.0,4,0,0,0,0,0,1,1,0,0,0
1409680720,14.958236,15.009052,0.0,0.0,0.0,0.0,0.6061732,1.0616459,0.0,4,0,0,0,0,0,1,1,0,0,0
1410185384,15.032104,15.011072,0.0,0.0,0.0,0.0,0.6063716,1.0615177,0.0,4,0,0,0,0,0,1,1,0,0,0
1410690357,15.024717,15.005826,0.0,0.0,0.0,0.0,0.6065709,1.06176,0.0,4,0,0,0,0,0,1,1,0,0,0
1411183184,14.987783,15.004036,0.0,0.0,0.0,0.0,0.60676146,1.0618453,0.0,4,0,0,0,0,0,1,1,0,0,0
1411687788,14.99517,15.006439,0.0,0.0,0.0,0.0,0.60695505,1.0617139,0.0,4,0,0,0,0,0,1,1,0,0,0
1412192584,15.009943,15.008181,0.0,0.0,0.0,0.0,0.6071472,1.061662,0.0,4,0,0,0,0,0,1,1,0,0,0
1412685546,14.99517,15.005117,0.0,0.0,0.0,0.0,0.60733694,1.0619049,0.0,4,0,0,0,0,0,1,1,0,0,0
1413191361,14.980396,14.995935,0.0,0.0,0.0,0.0,0.607519,1.0624522,0.0,4,0,0,0,0,0,1,1,0,0,0
1413695864,15.076425,14.997172,0.0,0.0,0.0,0.0,0.607695,1.0623244,0.0,4,0,0,0,0,0,1,1,0,0,0
1414188686,15.032104,15.004804,0.0,0.0,0.0,0.0,0.6078761,1.0618356,0.0,4,0,0,0,0,0,1,1,0,0,0
1414693528,15.002557,15.008511,0.0,0.0,0.0,0.0,0.6080666,1.0616076,0.0,4,0,0,0,0,0,1,1,0,0,0
1415198225,15.002557,14.999743,0.0,0.0,0.0,0.0,0.6082502,1.0622368,0.0,4,0,0,0,0,0,1,1,0,0,0
1415691127,15.069037,14.995284,0.0,0.0,0.0,0.0,0.60841703,1.0625775,0.0,4,0,0,0,0,0,1,1,0,0,0
1416195934,15.002557,14.997895,0.0,0.0,0.0,0.0,0.6085885,1.0624456,0.0,4,0,0,0,0,0,1,1,0,0,0
1416700642,14.99517,14.996375,0.0,0.0,0.0,0.0,0.60875785,1.06258,0.0,4,0,0,0,0,0,1,1,0,0,0
1417194368,14.95085,14.992018,0.0,0.0,0.0,0.0,0.6089205,1.0628935,0.0,4,0,0,0,0,0,1,1,0,0,0
1417699176,14.987783,14.995281,0.0,0.0,0.0,0.0,0.6090869,1.062671,0.0,4,0,0,0,0,0,1,1,0,0,0
1418203966,15.009943,14.992377,0.0,0.0,0.0,0.0,0.6092494,1.0627795,0.0,4,0,0,0,0,0,1,1,0,0,0
1418696723,14.943462,14.988337,0.0,0.0,0.0,0.0,0.6094065,1.0630879,0.0,4,0,0,0,0,0,1,1,0,0,0
