timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
1400766367,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1402773500,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1403776352,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1404786438,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1405794457,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1406797361,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1407797371,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1408808515,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1409813773,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1410823644,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1411832725,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1412841414,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1413848398,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1414851360,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1415856826,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1416867344,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1417868761,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1418869284,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1419872010,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1420877952,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1421878731,2162735,2162703,2162735,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
