timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
1400316765,inf,0,0,0,0
1402332911,inf,0,0,0,0
1403345556,inf,0,0,0,0
1404347781,inf,0,0,0,0
1405367328,inf,0,0,0,0
1406387579,inf,0,0,0,0
1407406339,inf,0,0,0,0
1408427132,inf,0,0,0,0
1409446342,inf,0,0,0,0
1410463326,inf,0,0,0,0
1411477437,inf,0,0,0,0
1412490331,inf,0,0,0,0
1413512014,inf,0,0,0,0
1415549328,inf,0,0,0,0
1416569938,inf,0,0,0,0
1419587763,inf,0,0,0,0
1421624362,inf,0,0,0,0
1422641761,inf,0,0,0,0
1423643341,inf,0,0,0,0
1424659337,inf,0,0,0,0
1425675347,inf,0,0,0,0
1426694325,inf,0,0,0,0
1427694953,inf,0,0,0,0
1428706307,inf,0,0,0,0
1429708327,inf,0,0,0,0
1430724361,inf,0,0,0,0
1431725390,inf,0,0,0,0
1432746326,inf,0,0,0,0
1433761431,inf,0,0,0,0
1434778325,inf,0,0,0,0
1435798227,inf,0,0,0,0
1436813974,inf,0,0,0,0
1437834339,inf,0,0,0,0
1438855265,inf,0,0,0,0
1439870259,inf,0,0,0,0
1440870339,inf,0,0,0,0
1441889676,inf,0,0,0,0
1442905337,inf,0,0,0,0
1443923325,inf,0,0,0,0
1444936764,inf,0,0,0,0
1445950788,inf,0,0,0,0
1446952093,inf,0,0,0,0
1447962338,inf,0,0,0,0
1448983593,inf,0,0,0,0
1449998332,inf,0,0,0,0
1451000332,inf,0,0,0,0
1452018089,inf,0,0,0,0
1453035930,inf,0,0,0,0
1454049405,inf,0,0,0,0
1455064352,inf,0,0,0,0
1456083328,inf,0,0,0,0
1457100353,inf,0,0,0,0
1458118096,inf,0,0,0,0
1459135643,inf,0,0,0,0
1460146675,inf,0,0,0,0
1461147590,inf,0,0,0,0
1462166956,inf,0,0,0,0
1463178574,inf,0,0,0,0
1464181404,inf,0,0,0,0
1465200379,inf,0,0,0,0
1466222225,inf,0,0,0,0
1467238327,inf,0,0,0,0
1468239325,inf,0,0,0,0
1469257327,inf,0,0,0,0
1470273894,inf,0,0,0,0
1471292028,inf,0,0,0,0
1472306520,inf,0,0,0,0
1473327724,inf,0,0,0,0
1474347333,inf,0,0,0,0
1475368562,inf,0,0,0,0
1475764501,inf,0,0,1,0
1476389876,inf,1,0,0,0
1477406303,inf,1,0,0,0
