timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1398989227,1398989039,0.002833034,-0.029842585,0.035523035,0.6834507,0.0,0.0,0.0,-1.0
1399093230,1399093039,0.010217006,-0.039950218,0.03387074,0.6778786,0.0,0.0,0.0,-1.0
1402174933,1402174639,-0.000721324,-0.042981595,0.027363775,0.67940223,0.0,0.0,0.0,-1.0
1402278827,1402278638,0.00023998457,-0.029993447,0.023568869,0.6774213,0.0,0.0,0.0,-1.0
1402378976,1402378639,-0.0014222472,-0.048243552,0.025804428,0.6734689,0.0,0.0,0.0,-1.0
1402478825,1402478639,-0.00035287163,-0.024816051,0.027469102,0.6799924,0.0,0.0,0.0,-1.0
1402583623,1402583440,0.00063478516,-0.04621711,0.022773841,0.67311525,0.0,0.0,0.0,-1.0
1402683629,1402683441,-0.0030568207,-0.016188264,0.021872874,0.6802155,0.0,0.0,0.0,-1.0
1402887627,1402887438,-0.0043849265,-0.027761538,0.02418101,0.67920065,0.0,0.0,0.0,-1.0
1403088381,1403088238,-0.0018979611,-0.032069188,0.023517294,0.6797919,0.0,0.0,0.0,-1.0
1403292382,1403292238,-0.0016421586,-0.024586616,0.025431497,0.6821247,0.0,0.0,0.0,-1.0
1403392487,1403392239,0.001952705,-0.030489571,0.024017377,0.6800185,0.0,0.0,0.0,-1.0
1403497224,1403497038,-0.0057822224,-0.023447152,0.027370544,0.680073,0.0,0.0,0.0,-1.0
1403597227,1403597038,-0.004969492,-0.030840944,0.025414301,0.6811899,0.0,0.0,0.0,-1.0
1403697261,1403697058,0.0037073167,-0.03881402,0.027376551,0.6761564,0.0,0.0,0.0,-1.0
1403801231,1403801038,-0.0036417658,-0.034518257,0.031169953,0.6793026,0.0,0.0,0.0,-1.0
1404002021,1404001838,0.005522239,-0.013672485,0.029206423,0.67725927,0.0,0.0,0.0,-1.0
1404105982,1404105838,0.0049631307,-0.032337528,0.03361674,0.67831427,0.0,0.0,0.0,-1.0
1404206031,1404205841,0.0040098433,-0.013882972,0.032269813,0.6817789,0.0,0.0,0.0,-1.0
1404306821,1404306639,0.002612317,-0.03681298,0.030467482,0.6805232,0.0,0.0,0.0,-1.0
1404410820,1404410638,0.0017060845,-0.021736734,0.033976406,0.6816475,0.0,0.0,0.0,-1.0
1404510830,1404510638,0.0044045853,-0.03208836,0.035940044,0.67986333,0.0,0.0,0.0,-1.0
1404610829,1404610638,0.0022648321,-0.025076265,0.03666126,0.68379384,0.0,0.0,0.0,-1.0
1404714828,1404714639,0.0061978074,-0.025510207,0.035458677,0.6776714,0.0,0.0,0.0,-1.0
1404815628,1404815440,0.002413454,-0.023840168,0.035311554,0.68201965,0.0,0.0,0.0,-1.0
1404915623,1404915440,0.0025190208,-0.03935267,0.035614006,0.67790276,0.0,0.0,0.0,-1.0
1405119620,1405119438,0.0044775545,-0.027165955,0.032434415,0.6799795,0.0,0.0,0.0,-1.0
1405324431,1405324238,0.003896594,-0.015526752,0.03589971,0.6816504,0.0,0.0,0.0,-1.0
1405424425,1405424238,0.008347025,-0.020311391,0.032261778,0.6794843,0.0,0.0,0.0,-1.0
1405524423,1405524239,0.0038813422,-0.03675964,0.031642966,0.6775972,0.0,0.0,0.0,-1.0
1405628624,1405628241,0.0039231665,-0.027371384,0.029334497,0.68051064,0.0,0.0,0.0,-1.0
1405729307,1405729038,0.0046661757,-0.020778216,0.030611476,0.6822552,0.0,0.0,0.0,-1.0
1405829246,1405829039,0.006816681,-0.034720503,0.027011244,0.67945904,0.0,0.0,0.0,-1.0
1405933182,1405933038,0.0054667066,-0.025309723,0.026423188,0.6810371,0.0,0.0,0.0,-1.0
1406033231,1406033038,0.00019450655,-0.040026385,0.027397407,0.68077624,0.0,0.0,0.0,-1.0
1406133976,1406133838,0.0046454854,-0.04252941,0.02758684,0.67892337,0.0,0.0,0.0,-1.0
1406238048,1406237839,0.0022594344,-0.04362252,0.025000531,0.68034106,0.0,0.0,0.0,-1.0
1406337976,1406337838,0.0017800144,-0.041644152,0.03115647,0.6803504,0.0,0.0,0.0,-1.0
1406438027,1406437838,0.004326887,-0.012925267,0.029127542,0.6815109,0.0,0.0,0.0,-1.0
1406538833,1406538639,0.0037516002,-0.028323954,0.0247315,0.67972916,0.0,0.0,0.0,-1.0
1406742823,1406742640,0.0050063725,-0.023975722,0.026763987,0.68171185,0.0,0.0,0.0,-1.0
1406846836,1406846644,0.0013432151,-0.020312604,0.028111642,0.6811169,0.0,0.0,0.0,-1.0
1406946984,1406946641,0.0030143987,-0.030128388,0.02852637,0.6803273,0.0,0.0,0.0,-1.0
1407047623,1407047441,0.0070372685,-0.024973206,0.030402586,0.681923,0.0,0.0,0.0,-1.0
1407151633,1407151438,0.0020687648,-0.024463942,0.025299175,0.6790432,0.0,0.0,0.0,-1.0
1407251621,1407251438,0.0039055587,-0.033098005,0.027717998,0.67853636,0.0,0.0,0.0,-1.0
1407351582,1407351438,0.004498373,-0.037938777,0.027698036,0.67988086,0.0,0.0,0.0,-1.0
1407452426,1407452238,0.004273565,-0.038277823,0.026639216,0.67941135,0.0,0.0,0.0,-1.0
1407556388,1407556242,0.0066826516,-0.038178187,0.025308829,0.6785434,0.0,0.0,0.0,-1.0
1407656425,1407656238,0.002499037,-0.034585014,0.028452221,0.6789546,0.0,0.0,0.0,-1.0
1407760432,1407760238,0.0028672714,-0.035736665,0.023951285,0.67704785,0.0,0.0,0.0,-1.0
1407860434,1407860238,0.0023454097,-0.028837457,0.025298454,0.6771104,0.0,0.0,0.0,-1.0
1407961187,1407961038,0.02052569,-0.020426543,0.027693873,0.6859131,0.0,0.0,0.0,-1.0
1408061231,1408061038,0.007203741,-0.02976212,0.027273085,0.68250644,0.0,0.0,0.0,-1.0
1408165225,1408165082,0.0052300342,-0.021866651,0.027633581,0.68082553,0.0,0.0,0.0,-1.0
1408265231,1408265038,0.0051347134,-0.03807429,0.028409392,0.67924994,0.0,0.0,0.0,-1.0
1408366039,1408365841,0.00457667,-0.039447837,0.031449016,0.67837054,0.0,0.0,0.0,-1.0
1408470028,1408469838,0.0046263468,-0.037653863,0.027506556,0.67915654,0.0,0.0,0.0,-1.0
1408569982,1408569838,-0.0032019299,-0.040900204,0.030007975,0.67881775,0.0,0.0,0.0,-1.0
1408674049,1408673838,0.0060672965,-0.041592162,0.027216356,0.6806261,0.0,0.0,0.0,-1.0
1408774777,1408774638,0.0044228323,-0.03859013,0.027548462,0.67563486,0.0,0.0,0.0,-1.0
1408874915,1408874638,0.0029754536,-0.022549743,0.026210237,0.67895734,0.0,0.0,0.0,-1.0
1408974778,1408974638,0.0030301376,-0.024308372,0.026382733,0.6777347,0.0,0.0,0.0,-1.0
1409078833,1409078647,0.007288332,-0.010182107,0.02210069,0.67850435,0.0,0.0,0.0,-1.0
1409178831,1409178638,0.0031301943,-0.033075728,0.024101425,0.6743796,0.0,0.0,0.0,-1.0
1409279646,1409279438,0.0024815658,-0.04686992,0.027079802,0.6768757,0.0,0.0,0.0,-1.0
1409383639,1409383440,0.0055149235,-0.03532542,0.027433902,0.67699057,0.0,0.0,0.0,-1.0
