timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1399021288,-0.016854305,-0.022311483,-0.020271787,0.0020208328,-0.03612674,0.033409216,0.0
1399049274,0.016663585,-0.03192293,-0.014092859,0.0019980266,-0.036142386,0.033409,0.0
1399081260,-0.063980155,-0.13800445,0.023056366,0.0020449504,-0.036097396,0.033401,0.0
1402206802,-0.018931676,-0.14399229,-0.0025778543,0.00027313526,-0.03316598,0.02986829,0.0
1402238841,-0.033869363,0.03761891,0.021266036,0.00023962706,-0.03315911,0.029837662,0.0
1402270846,-0.020485407,-0.030842252,-0.0014281813,0.00024365014,-0.033143792,0.02980913,0.0
1402302865,-0.0025372547,0.008638342,-0.035999432,0.00023534354,-0.033119112,0.029778846,0.0
1402334839,-0.024261512,-0.054088634,-0.002737397,0.00024085022,-0.033095475,0.029741595,0.0
1402366926,-0.037729923,0.07075905,0.0010939678,0.00029955723,-0.03308409,0.029699735,0.0
1402394839,0.002599578,0.022889309,0.011690336,0.00031173212,-0.033074852,0.02965896,0.0
1402426803,-0.0017414052,0.064552076,0.004833942,0.00033770344,-0.033064377,0.029607985,0.0
1402458789,0.005816736,-0.07784955,-0.009474178,0.0003887527,-0.033013124,0.029556341,0.0
1402490842,0.03774235,0.06351798,0.005444857,0.00041088916,-0.03298568,0.029497402,0.0
1402523587,0.010819415,-0.04099564,0.035068378,0.0004074086,-0.032930303,0.029417029,0.0
1402555593,0.05578905,0.054425042,0.027712142,0.00039120394,-0.03293146,0.029330954,0.0
1402587643,0.03504516,-0.05862906,0.021460501,0.00039820268,-0.032920897,0.029237201,0.0
1402619679,0.03581366,0.037236042,0.025475495,0.0004148207,-0.03290464,0.029131716,0.0
1402651597,0.039822936,0.03242188,0.02286851,0.00042892684,-0.032850444,0.029024085,0.0
1402683643,0.04639485,-0.097397655,0.010530245,0.000358354,-0.032776404,0.028916094,0.0
1402715597,0.0645182,0.09673434,-0.0015765681,0.00029512655,-0.032785885,0.028815638,0.0
1402747642,-0.005341278,-0.0036678985,0.024803458,0.00029140717,-0.032778595,0.028716892,0.0
1402779636,0.032345884,0.016927348,-0.007797956,0.000246881,-0.032790903,0.028632157,0.0
1402811648,0.03197437,-0.01909992,0.015424847,0.00020632087,-0.032808382,0.028538177,0.0
1402839593,0.025254898,-0.013367986,-0.0074201673,0.00018590706,-0.032821618,0.028461678,0.0
1402871627,0.018979046,-0.061802257,-0.006516584,0.00014000219,-0.03279303,0.02838386,0.0
1402903641,0.013493473,0.08191722,0.023151297,7.9009355e-05,-0.032793745,0.028301835,0.0
1402935638,-0.0063043926,-0.0886166,-0.008090734,6.978754e-05,-0.032773886,0.028236099,0.0
1402968445,0.016197214,0.035745673,-0.030969573,3.8090046e-05,-0.032785766,0.02817286,0.0
