timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1407556457,4,1670.4916,1714.9016,1641.6747,1672.8536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1407657363,4,1676.8291,1713.5404,1639.47,1671.2334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1407760544,4,1671.5914,1709.8074,1640.8981,1673.4371,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1407860534,4,1676.2515,1707.121,1643.1554,1669.3812,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1407961262,4,1679.2545,1719.7952,1660.8025,1660.7043,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408061334,4,1678.5485,1715.1428,1647.4976,1669.8292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408166107,4,1682.5092,1709.3336,1648.9996,1665.4691,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408265334,4,1673.9741,1716.7489,1639.284,1671.8927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408367649,4,1675.0826,1718.6647,1635.5847,1670.1055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408471292,4,1673.7366,1715.5918,1639.8073,1672.5028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408570054,4,1677.5183,1714.8376,1632.3374,1675.9963,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408674158,4,1671.8995,1719.08,1639.8029,1674.9707,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408774846,4,1670.938,1713.5187,1636.7485,1670.5724,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408874984,4,1680.9829,1706.2517,1647.2343,1666.6117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1408975476,4,1679.3503,1706.4141,1645.4142,1666.4785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409078934,4,1681.7761,1699.0709,1658.0502,1660.9149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409178935,4,1671.0157,1706.8578,1640.3724,1670.017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409279746,4,1668.3411,1717.1967,1632.886,1676.8282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409383743,4,1672.8822,1713.3121,1639.9342,1669.4451,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409485093,4,1683.8391,1712.1619,1647.5117,1653.738,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409587745,4,1684.6016,1729.4955,1639.4252,1663.8623,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409692540,4,1684.7432,1715.9274,1630.3042,1659.8752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409794150,4,1698.8939,1716.2742,1640.9874,1651.6814,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409892527,4,1689.5652,1716.8795,1631.8146,1660.6108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1409996554,4,1690.5469,1726.2928,1634.2958,1655.5671,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410097571,4,1692.7343,1728.329,1625.4736,1654.203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410197335,4,1692.5103,1725.342,1631.952,1653.5377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410301350,4,1692.1537,1721.0591,1629.7495,1656.9108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410401338,4,1690.8986,1741.8119,1612.4995,1674.8062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410502139,4,1691.1317,1735.2748,1626.0538,1667.133,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410607004,4,1711.5759,1718.6765,1649.5106,1653.8688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410706137,4,1686.7799,1727.8016,1630.371,1658.1261,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410806141,4,1691.9567,1722.652,1638.6259,1659.0577,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1410906135,4,1696.8829,1721.1976,1628.6505,1665.0524,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411111804,4,1687.847,1729.0677,1624.2001,1667.3818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411214925,4,1686.8374,1731.9261,1626.8141,1666.0138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411314918,4,1691.2837,1731.4526,1626.6912,1662.3998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411414929,4,1699.4603,1725.4335,1630.7317,1649.8073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411619652,4,1693.8713,1734.0538,1611.5844,1655.8093,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411719988,4,1693.9012,1739.4644,1611.4163,1658.0177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411823727,4,1706.5159,1731.7373,1628.7632,1638.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1411925693,4,1714.563,1734.537,1622.6625,1643.1486,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412024535,4,1701.3739,1734.9548,1607.3839,1648.7665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412128541,4,1707.4397,1738.1208,1616.1459,1637.8331,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412228450,4,1706.8313,1731.3083,1608.8104,1648.1113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412329336,4,1702.2578,1738.8191,1609.7026,1644.3522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412430464,4,1711.2809,1738.5175,1611.8563,1642.3528,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412533383,4,1710.1156,1731.0077,1620.7996,1636.1979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412633336,4,1716.7461,1733.4355,1626.5807,1629.9363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412738180,4,1708.9847,1739.2979,1617.9843,1644.745,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412838045,4,1715.5643,1731.7721,1626.967,1631.2268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1412939331,4,1707.1776,1740.3691,1615.5662,1645.4432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413042152,4,1712.5568,1739.5018,1615.5521,1652.5492,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413146324,4,1713.9768,1733.7728,1620.5876,1646.8895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413246928,4,1696.502,1738.9115,1610.3037,1654.9332,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413347093,4,1700.9114,1737.9304,1615.4137,1656.7333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413450926,4,1698.691,1732.8912,1620.8923,1651.5806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413550967,4,1703.642,1730.1663,1633.1548,1644.3517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413651727,4,1696.4456,1739.8959,1609.7734,1655.9503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413755928,4,1712.0852,1726.869,1621.6481,1652.4237,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413855728,4,1695.3702,1726.3212,1615.5677,1654.5062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1413955734,4,1705.8652,1721.0756,1628.4521,1649.699,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414061132,4,1694.5387,1727.061,1623.9728,1652.5793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414160527,4,1692.5753,1726.583,1616.2831,1656.938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414260455,4,1687.1049,1733.7247,1622.222,1656.3574,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414364529,4,1695.6476,1730.4142,1622.759,1656.3894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414464453,4,1697.2079,1725.9006,1619.8384,1657.0253,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414566181,4,1703.3795,1725.7817,1629.1978,1650.5234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414669258,4,1703.8951,1727.2285,1628.582,1650.9287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414769338,4,1688.5139,1728.9886,1617.9059,1656.9917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414869285,4,1702.9818,1719.0931,1628.3251,1655.7218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1414974056,4,1699.2676,1720.2301,1628.3354,1660.9692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415074877,4,1686.6338,1726.8844,1619.6047,1664.3369,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415174131,4,1695.1934,1722.0669,1627.5765,1657.5245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415278136,4,1696.0216,1717.2942,1633.4448,1653.5553,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415379897,4,1698.1204,1719.2128,1625.6162,1661.3108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415478928,4,1689.401,1724.4586,1623.5243,1657.933,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415582946,4,1697.8685,1720.3715,1630.0604,1655.0189,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415682931,4,1688.3007,1731.1884,1620.0433,1664.2155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1415783656,4,1694.3864,1722.2719,1623.9237,1658.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
