timestamp,load,ram_usage
1398296827,0.452722,0.6575919
1401302675,0.428065,0.6577234
1402304987,0.474753,0.6577234
1403306792,0.62209,0.6577234
1404307772,0.629164,0.6577234
1405308921,0.636935,0.6577234
1406309447,0.632515,0.6577234
1407313360,0.6324,0.6577234
1408315217,0.633984,0.6577234
1409317202,0.648712,0.6577234
1410318754,0.629119,0.6577234
1411319815,0.637263,0.6577234
1412323784,0.637695,0.6577234
1413324933,0.642248,0.6577234
1414329924,0.64188,0.6577234
1415334843,0.640565,0.6577234
1416335447,0.63899,0.6577234
1417336282,0.624837,0.6577234
1418338574,0.643287,0.6577234
1419339753,0.634595,0.6577234
1420342517,0.644527,0.6577234
1421343861,0.637769,0.6577234
1422345368,0.642624,0.6577234
1423347923,0.636374,0.6577234
1424348664,0.63677,0.6577234
1425351455,0.634798,0.6577234
1426352791,0.631085,0.6577234
1427354873,0.634731,0.6577234
1428356333,0.639616,0.6577234
1429357985,0.630753,0.6577234
1430359769,0.627135,0.6577234
1431363017,0.636349,0.6577234
1432364037,0.64013,0.6577234
1433365786,0.64515,0.6577234
1434369461,0.64156,0.6577234
1435370259,0.638119,0.6577234
1436371356,0.64377,0.6577234
1437372873,0.639169,0.6577234
1438374741,0.643464,0.6577234
1439377406,0.64267,0.6577234
1440379856,0.646477,0.6577234
1441382538,0.637833,0.6577234
1442383308,0.646068,0.6577234
1443385673,0.636882,0.6577234
1444386415,0.630653,0.6577234
1445388908,0.635728,0.6577234
1446390783,0.640835,0.6577234
1447392571,0.642239,0.6577234
1448396177,0.635236,0.6577234
1449397605,0.640247,0.6577234
1450399534,0.639571,0.6577234
1451400910,0.638563,0.6577234
1452402117,0.635801,0.6577234
1453405637,0.640758,0.6577234
1454407151,0.642237,0.6577234
1455408413,0.634586,0.6577234
1456411216,0.63421303,0.6577234
1457412410,0.638592,0.6577234
1458414251,0.634803,0.6577234
1459416154,0.635628,0.6577234
1460418825,0.643566,0.6577234
1461420044,0.646335,0.6577234
1462422961,0.643043,0.6577234
1463424391,0.639368,0.6577234
1464428845,0.628607,0.6577234
1465432051,0.646459,0.6577234
1466435960,0.646641,0.6577234
1468440290,0.647897,0.6577234
1469441260,0.643228,0.6577234
1470443824,0.640669,0.6577234
1471445743,0.63757503,0.6577234
1472446564,0.639594,0.6577234
1473447256,0.641955,0.6577234
1474452282,0.625006,0.6577234
1475453456,0.63580203,0.6577234
1476455812,0.635095,0.6577234
1477457194,0.670627,0.6577234
