timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
1398997038,-0.015937164,-0.06754961,-0.028262323,3979,0,-0.37248638,0.26471218,-10.409841,3979
1399001038,-0.0071608685,0.027834408,0.001958627,4000,0,0.06902339,0.27697805,-10.026509,4000
1399005040,-0.00049075566,-0.007891449,-0.007224495,4002,0,0.35746312,-0.043594882,-9.058603,4002
1399009038,-0.01110323,-0.04610813,-0.04317579,3998,0,-0.08568423,0.2586778,-10.7928915,3998
1399013038,-0.030718667,3.0424706e-05,0.009902402,4000,0,0.90026504,-0.29539347,-8.804937,4000
1399017040,-0.018714905,-0.040903233,-0.034369737,4002,0,-0.5434866,-0.19064367,-10.105006,4002
1399021064,-0.01790426,0.0070785377,-0.00012476475,4024,0,0.26807317,0.3322791,-10.505554,4024
1399025038,0.0013525296,-0.014274126,-0.011997507,3974,0,0.21952459,-0.2546706,-8.984236,3974
1399029038,-0.008148459,-0.024739241,-0.022702763,4000,0,0.004855735,0.29110238,-10.513145,4000
1399033038,-0.009271167,-0.015847387,-0.0022278042,4000,0,0.58585733,-0.07266559,-9.066397,4000
1399037038,-0.0020947142,-0.012707026,-0.034761187,4000,0,-0.26909953,0.40824008,-9.532307,4000
1399041039,-0.013264532,-0.030205082,0.00960333,4001,0,0.100259915,0.117906965,-10.950246,4001
1399045038,0.009771498,0.03214744,-0.029514145,3999,0,0.53433144,-0.6435393,-8.632857,3999
1399049060,0.009850595,-0.077998616,0.011220009,4022,0,0.2182124,0.11964568,-10.647636,4022
1399053040,-0.017951187,-0.016034914,-0.011904121,3980,0,-0.046401583,-0.2944985,-9.468165,3980
1399057038,-0.0056626876,-0.0021996289,-0.027227623,3998,0,0.19754636,0.4764963,-8.8617,3998
1399061038,-0.04941584,-0.09102394,0.0066277017,4000,0,-0.25974518,0.011910661,-11.14843,4000
1399065038,0.011069334,0.07413278,-0.035471328,4000,0,0.64869064,-0.44542044,-7.769558,4000
1399069038,-0.028747628,-0.1390427,0.031745765,4000,0,0.21453246,0.7328417,-11.643143,4000
1399073038,-0.050073788,0.045414954,-0.027081918,4000,0,0.035614915,-0.8618759,-8.931919,4000
1399077060,-0.043925103,-0.070771486,-0.016152361,4022,0,0.5170902,0.9121307,-9.64939,4022
1399081038,-0.06568324,-0.07273212,0.010588675,3978,0,-0.8898607,-0.6414672,-10.683643,3978
1399085038,0.011975052,0.096061684,-0.024475083,4000,0,1.5068558,-0.123067334,-8.273451,4000
1399089038,-0.07106485,-0.21039179,0.040303107,4000,0,-0.8313135,0.5181937,-11.637894,4000
1399093039,-0.032781538,0.1380485,-0.033247754,4001,0,0.5999921,-0.8493846,-8.360476,4001
1399097038,-0.06927877,-0.1858301,-0.0136948,3999,0,0.6160078,1.4297957,-10.5864,3999
1402194640,-0.043262262,-0.18267623,-0.023934698,4002,0,-0.06552011,1.1628596,-9.589248,4002
1402198638,-0.028920164,0.09104951,0.010919338,3998,0,-0.27451968,-0.61384606,-10.504749,3998
1402202642,0.015954245,-0.016355157,-0.018840177,4004,0,1.460289,0.16974509,-8.514611,4004
1402206640,-0.017549202,-0.1093045,0.023416849,3998,0,-1.1283877,0.063046604,-11.284904,3998
1402210639,-0.0063081495,0.10212515,-0.013871392,3999,0,1.1833239,-0.5294924,-9.3595495,3999
1402214638,-0.030416058,-0.15292646,-0.02586221,3999,0,-0.39687228,0.7854101,-9.943793,3999
1402218638,-0.0038849795,0.12366792,0.009241077,4000,0,-0.11149803,-0.6744,-9.313955,4000
1402222639,0.020518152,-0.06434806,-0.030131409,4001,0,0.6597719,0.5404314,-9.338018,4001
1402226638,-0.009446321,-0.0037958766,0.025148377,3999,0,-0.5002762,0.111097805,-10.678911,3999
1402230642,-0.014844967,0.025020665,-0.02369963,4004,0,0.9415726,-0.2723556,-9.415353,4004
1402234638,-0.037401095,-0.0690374,-0.013590704,3996,0,-0.32870892,0.3213591,-10.148359,3996
1402238641,-0.028896892,0.06952663,0.015931066,4003,0,0.5351056,-0.44810697,-9.467591,4003
1402242638,-0.020845829,-0.06932456,-0.033997968,3997,0,-0.16866563,0.018637981,-9.722041,3997
1402246638,-0.032773703,0.06294268,0.029681604,4000,0,0.23052955,0.07995702,-9.927552,4000
1402250638,-0.03328442,-0.035816483,-0.02130386,4000,0,0.37088344,-0.15944844,-9.466051,4000
1402254638,-0.037066456,0.005876167,-0.013605202,4000,0,-0.098414496,0.7057973,-10.165554,4000
1402258638,-0.030842327,0.008695496,0.013949999,4000,0,0.59099567,-0.04888992,-9.391361,4000
1402262638,-0.0176647,-0.009857746,-0.04702748,4000,0,-0.71765345,-0.042995606,-10.3365755,4000
1402266639,-0.028323999,0.05894797,0.03377791,4001,0,0.77837163,-0.070484184,-9.335331,4001
1402270640,-0.018017216,-0.05739312,-0.02807907,4001,0,-0.014886084,-0.5645219,-9.535795,4001
1402274639,-0.018845942,0.05040826,0.004991516,3999,0,0.60969746,0.57352936,-10.49312,3999
1402278638,-0.018576888,-0.052900825,0.0212096,3999,0,0.04761374,-0.2122858,-9.186676,3999
1402282638,0.0028464226,0.03506263,-0.043407466,4000,0,-0.54913807,0.39596635,-10.046909,4000
1402286639,-0.033222545,0.0057465276,0.036828037,4001,0,0.7831509,0.28259313,-9.553899,4001
