timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
1411445539,1550508350682372,-1550506939258995,-1550506939240514,43826
1411536602,1550508350773547,-1550506939256422,-1550506939240514,38941
1411631285,1550508350865803,-1550506939250983,-1550506939240514,32924
1411722302,1550508350956702,-1550506939246695,-1550506939240514,24582
1411813782,1550508351049324,-1550506939243447,-1550506939240514,15805
1411923282,1550508351159299,-1550506939248645,-1550506939240514,25250
1412018398,1550508351250949,-1550506939242803,-1550506939240514,18947
1412126591,1550508351361093,-1550506939246342,-1550506939240514,23665
1412237958,1550508351472619,-1550506939252049,-1550506939240514,34769
1412328328,1550508351563186,-1550506939247458,-1550506939240514,25193
1412451543,1550508351689640,-1550506939262132,-1550506939240514,48062
1412546414,1550508351781058,-1550506939255791,-1550506939240514,42281
1412635831,1550508351873832,-1550506939252485,-1550506939240514,28472
1412730293,1550508351965096,-1550506939246091,-1550506939240514,22561
1412819860,1550508352056550,-1550506939242589,-1550506939240514,11792
1412928019,1550508352165260,-1550506939246899,-1550506939240514,19300
1413023005,1550508352258159,-1550506939242042,-1550506939240514,13768
1413151268,1550508352386583,-1550506939254231,-1550506939240514,37826
1413224714,1550508352460695,-1550506939239668,-1550506939240505,7330
1413336396,1550508352570324,-1550506939242140,-1550506939240505,16410
1413430279,1550508352665355,-1550506939241650,-1550506939240505,13134
1413556401,1550508352788701,-1550506939252125,-1550506939240505,39630
1413642463,1550508352880270,-1550506939250596,-1550506939240505,25571
1413738437,1550508352972554,-1550506939244236,-1550506939240505,20224
1413826504,1550508353063207,-1550506939239422,-1550506939240495,5397
1413957650,1550508353194047,-1550506939254109,-1550506939240495,35410
1414048581,1550508353283848,-1550506939248666,-1550506939240495,26784
1414157421,1550508353394661,-1550506939252266,-1550506939240495,30044
1414249648,1550508353485964,-1550506939250006,-1550506939240495,27372
1414343280,1550508353578070,-1550506939245218,-1550506939240495,20850
1414467608,1550508353704074,-1550506939258743,-1550506939240495,43960
1414558352,1550508353796037,-1550506939253520,-1550506939240495,31663
1414650430,1550508353888535,-1550506939250094,-1550506939240495,23971
1414760728,1550508353998200,-1550506939251623,-1550506939240495,28294
1414854301,1550508354089151,-1550506939248088,-1550506939240495,26468
1414947014,1550508354181169,-1550506939243176,-1550506939240495,18029
1415055999,1550508354290945,-1550506939248496,-1550506939240495,26331
1415167220,1550508354401400,-1550506939249952,-1550506939240495,31530
1415257274,1550508354493554,-1550506939248966,-1550506939240495,25367
1415382444,1550508354619633,-1550506939261540,-1550506939240495,48694
1415477279,1550508354714681,-1550506939259640,-1550506939240495,44468
1415568321,1550508354803251,-1550506939252305,-1550506939240495,34743
1415657659,1550508354895550,-1550506939249876,-1550506939240495,23475
1415750287,1550508354985635,-1550506939242140,-1550506939240495,13571
1415842513,1550508355080474,-1550506939240527,-1550506939240489,5090
1415954284,1550508355190535,-1550506939244522,-1550506939240489,16536
1416063288,1550508355299506,-1550506939249188,-1550506939240489,25935
1416154293,1550508355390917,-1550506939244722,-1550506939240489,16188
1416264490,1550508355501116,-1550506939249615,-1550506939240489,25971
1416481692,1550508355719040,-1550506939257456,-1550506939240489,39705
1416574730,1550508355810803,-1550506939251954,-1550506939240489,31756
1416667278,1550508355902964,-1550506939248285,-1550506939240489,25191
1416756600,1550508355994464,-1550506939244722,-1550506939240489,13711
1416850567,1550508356086205,-1550506939239476,-1550506939240480,7650
1416960282,1550508356196113,-1550506939242023,-1550506939240480,12371
1417070199,1550508356305301,-1550506939246645,-1550506939240480,23073
1417181402,1550508356416509,-1550506939249622,-1550506939240480,29016
1417271137,1550508356507387,-1550506939245810,-1550506939240480,19113
1417365387,1550508356600889,-1550506939241791,-1550506939240480,12563
1417492685,1550508356725842,-1550506939251687,-1550506939240480,36293
1417585345,1550508356818673,-1550506939245459,-1550506939240480,24256
1417674297,1550508356910753,-1550506939243335,-1550506939240480,13752
