timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
1399094572,0.009125982,0.003456168,-0.07469347,0.0,0.9992905,0.00462431,0.0015564878,-0.037345495,0.68239367,-1.0,1,0,0,0,0,0,0
1402279612,-0.0074468623,-0.006012966,-0.022870092,-8.433e-42,0.99992305,-0.0037575408,-0.0029636845,-0.011445859,0.6793013,-1.0,1,0,0,0,0,0,0
1402380559,-0.0062990794,-0.0031496868,-0.022870092,-1.5858e-41,0.99992836,-0.0031673328,-0.0015387178,-0.011439687,0.68100184,-1.0,1,0,0,0,0,0,0
1402479531,-0.0033813096,-0.005678236,-0.022870092,-2e-43,0.99992913,-0.0017230012,-0.0028195924,-0.011439535,0.67862374,-1.0,1,0,0,0,0,0,0
1402584472,0.0012985121,-0.00025442333,-0.022870092,-0.0,0.99993443,0.00064775895,-0.00013462744,-0.011434712,0.6822293,-1.0,1,0,0,0,0,0,0
1402684754,0.0039627105,-0.0018822626,-0.022870092,0.0,0.9999322,0.001970462,-0.00096372416,-0.011432906,0.6776109,-1.0,1,0,0,0,0,0,0
1402888442,0.005099516,-0.0030917202,-0.022870092,0.0,0.99993026,0.002531909,-0.0015749092,-0.0114308065,0.67921054,-1.0,1,0,0,0,0,0,0
1403088858,0.0038898713,-0.0026636426,-0.022870092,0.0,0.9999319,0.0019295767,-0.0013539713,-0.011432177,0.6789651,-1.0,1,0,0,0,0,0,0
1403193236,0.0031168673,-0.0027285106,-0.022870092,0.0,0.99993247,0.00154273,-0.0013819844,-0.011432648,0.6793771,-1.0,1,0,0,0,0,0,0
1403293337,0.001349727,0.00042186212,-0.022870092,0.0,0.9999344,0.00067723135,0.00020320031,-0.011434936,0.67818177,-1.0,1,0,0,0,0,0,0
1403393087,0.00057912973,0.0022807599,-0.022870092,0.0,0.9999339,0.00030258577,0.001136994,-0.011435119,0.67952764,-1.0,1,0,0,0,0,0,0
1403497899,0.0004127329,0.0011172532,-0.022870092,0.0,0.99993443,0.0002127407,0.0005562303,-0.01143491,0.67638755,-1.0,1,0,0,0,0,0,0
1403598546,0.0006248804,0.0028144391,-0.022870092,0.0,0.9999336,0.00032851074,0.0014035543,-0.011435225,0.67892635,-1.0,1,0,0,0,0,0,0
1403698020,0.0018978023,0.0034331013,-0.022870092,0.0,0.99993265,0.0009684661,0.0017055864,-0.011436405,0.6798692,-1.0,1,0,0,0,0,0,0
1404002809,0.003156888,-0.005042003,-0.022870092,0.0,0.99993026,0.001549508,-0.0025388799,-0.011430767,0.67688954,-1.0,1,0,0,0,0,0,0
1404106484,0.0021024009,-0.007529367,-0.022870092,0.0,0.99992704,0.0010080759,-0.0037764467,-0.011430752,0.6778301,-1.0,1,0,0,0,0,0,0
1404307658,0.0021108654,-0.012211728,-0.022870092,0.0,0.9999155,0.0009855248,-0.0061174915,-0.011428134,0.6797729,-1.0,1,0,0,0,0,0,0
1404411671,0.002853448,-0.014962661,-0.022870092,0.0,0.99990577,0.0013410437,-0.0074970787,-0.011423794,0.6794225,-1.0,1,0,0,0,0,0,0
1404512173,0.0013544791,-0.014580614,-0.022870092,0.0,0.99990785,0.00059381477,-0.0072975075,-0.011429555,0.67822,-1.0,1,0,0,0,0,0,0
1404611609,-0.001589577,-0.014769422,-0.022870092,0.0,0.99990696,-0.00087915675,-0.0073750704,-0.011440352,0.6763802,-1.0,1,0,0,0,0,0,0
1404715665,-0.00044289633,-0.013259634,-0.022870092,0.0,0.9999126,-0.00029723882,-0.006626802,-0.011436013,0.67898965,-1.0,1,0,0,0,0,0,0
1404816777,-0.00058322144,-0.012968008,-0.022870092,0.0,0.9999136,-0.00036572825,-0.0064801998,-0.0114364475,0.6789106,-1.0,1,0,0,0,0,0,0
1404916312,-0.0024088854,-0.010601345,-0.022870092,0.0,0.9999198,-0.0012649584,-0.005286525,-0.011441012,0.6795933,-1.0,1,0,0,0,0,0,0
1405120917,0.003871588,-0.012144264,-0.022870092,0.0,0.99991447,0.0018661977,-0.0060938215,-0.011422812,0.68341136,-1.0,1,0,0,0,0,0,0
1405325217,0.005717017,-0.014849764,-0.022870092,0.0,0.99990326,0.0027733382,-0.007456984,-0.011413213,0.6776687,-1.0,1,0,0,0,0,0,0
1405525285,0.001687986,-0.013456906,-0.022870092,0.0,0.99991167,0.0007669807,-0.006737611,-0.011428857,0.6801609,-1.0,1,0,0,0,0,0,0
1405730380,-0.00013640239,-0.0103046335,-0.022870092,0.0,0.9999213,-0.00012711127,-0.0051511773,-0.0114349965,0.67686766,-1.0,1,0,0,0,0,0,0
1405830720,0.0009516333,-0.004933678,-0.022870092,0.0,0.99993145,0.00044757628,-0.002472116,-0.011433587,0.6794854,-1.0,1,0,0,0,0,0,0
