timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1399004268,0.013733937,-0.19292891,0.3524641
1399030928,0.010655797,-0.19292891,0.34330782
1399052260,0.010655797,-0.19292891,0.34330782
1399075040,0.013733937,-0.19292891,0.3402557
1401271104,0.0044995146,-0.19590275,0.34330782
1402188516,0.007577656,-0.19887656,0.33720362
1402212490,0.010655797,-0.19887656,0.34330782
1402237136,0.007577656,-0.19887656,0.33720362
1402260829,0.007577656,-0.19887656,0.3402557
1402284930,0.0044995146,-0.19887656,0.34330782
1402308890,0.007577656,-0.19887656,0.33415154
1402335948,0.007577656,-0.19887656,0.33720362
1402356694,0.0044995146,-0.19590275,0.33720362
1402405161,0.0044995146,-0.19887656,0.34330782
1402429311,0.0044995146,-0.19887656,0.3402557
1402452704,0.007577656,-0.19887656,0.33415154
1402474246,0.010655797,-0.19887656,0.3402557
1402498312,0.010655797,-0.19887656,0.33415154
1402522253,0.010655797,-0.19887656,0.33415154
1402546118,0.0044995146,-0.19887656,0.33720362
1402569431,0.007577656,-0.19887656,0.33720362
1402593382,0.0044995146,-0.19887656,0.33720362
1402617479,0.0044995146,-0.19590275,0.34330782
1402641623,0.007577656,-0.19887656,0.33720362
1402665217,0.007577656,-0.19590275,0.34330782
1402687273,0.0044995146,-0.19590275,0.3402557
1402710688,0.007577656,-0.19590275,0.33720362
1402735260,0.0044995146,-0.19590275,0.3402557
1402757357,0.007577656,-0.19590275,0.34330782
1402802244,0.0044995146,-0.19590275,0.3463599
1402825358,0.007577656,-0.19590275,0.33720362
1402848931,0.0044995146,-0.19590275,0.3402557
1402871264,0.0044995146,-0.19292891,0.34330782
1402895257,0.0044995146,-0.19292891,0.34330782
1402919274,0.0014213738,-0.19292891,0.3463599
1402949207,0.0044995146,-0.19590275,0.34330782
1402971291,0.007577656,-0.19292891,0.34330782
1403017188,0.0014213738,-0.19590275,0.34330782
1403041304,0.0044995146,-0.19292891,0.34330782
1403065266,0.010655797,-0.19292891,0.3402557
1403085297,0.013733937,-0.19292891,0.3402557
1403109901,0.007577656,-0.19590275,0.33720362
1403134101,0.0044995146,-0.19292891,0.34330782
1403158968,0.0044995146,-0.19292891,0.34330782
1403179340,0.007577656,-0.19292891,0.34330782
1403225318,0.010655797,-0.19590275,0.34330782
1403249366,0.007577656,-0.19590275,0.3402557
1403272936,0.0044995146,-0.19590275,0.349412
1403294291,0.0044995146,-0.19292891,0.34330782
1403318100,0.010655797,-0.19590275,0.33109942
1403343564,0.007577656,-0.19292891,0.3402557
1403369529,0.007577656,-0.19887656,0.3402557
1403391471,0.007577656,-0.19590275,0.33720362
1403414990,0.007577656,-0.19590275,0.34330782
1403439249,0.007577656,-0.19590275,0.34330782
1403462397,0.0014213738,-0.19590275,0.3463599
1403486450,0.0044995146,-0.19590275,0.3402557
1403510492,0.0014213738,-0.19590275,0.3402557
1403535033,0.007577656,-0.19590275,0.34330782
1403559202,0.007577656,-0.19590275,0.33720362
1403587225,0.007577656,-0.19590275,0.3402557
1403611356,0.0044995146,-0.19590275,0.34330782
1403635038,0.0044995146,-0.19590275,0.3402557
1403657765,0.007577656,-0.19590275,0.3402557
1403682712,0.007577656,-0.19590275,0.33720362
1403706146,0.007577656,-0.19590275,0.33720362
1403731025,0.010655797,-0.19590275,0.3402557
1403755014,0.007577656,-0.19590275,0.33415154
1403783353,0.0044995146,-0.19590275,0.34330782
1403806967,0.010655797,-0.19590275,0.33720362
1403828260,0.007577656,-0.19590275,0.33720362
1403851264,0.0044995146,-0.19590275,0.34330782
1403874961,0.0044995146,-0.19590275,0.3402557
1403901172,0.007577656,-0.19590275,0.3402557
1403924296,0.0044995146,-0.19292891,0.33720362
1403947847,0.010655797,-0.19590275,0.33720362
1403972032,0.010655797,-0.19590275,0.3402557
1403995493,0.007577656,-0.19590275,0.33415154
1404019836,0.019890219,-0.19590275,0.3402557
1404044149,0.010655797,-0.19590275,0.34330782
1404068134,0.007577656,-0.19590275,0.34330782
1404097058,0.010655797,-0.19590275,0.33720362
1404119861,0.010655797,-0.19590275,0.3402557
1404144132,0.013733937,-0.19590275,0.33720362
1404167510,0.010655797,-0.19590275,0.34330782
1404191510,0.010655797,-0.19292891,0.33720362
1404215916,0.010655797,-0.19590275,0.3402557
1404239524,0.010655797,-0.19590275,0.33720362
1404264144,0.007577656,-0.19590275,0.34330782
1404285338,0.016812079,-0.19590275,0.33720362
1404308672,0.013733937,-0.19590275,0.34330782
1404332647,0.013733937,-0.19887656,0.33720362
1404356280,0.013733937,-0.19590275,0.33720362
1404380896,0.013733937,-0.19590275,0.33720362
1404430340,0.013733937,-0.19590275,0.33720362
1404452663,0.016812079,-0.19590275,0.33720362
1404476639,0.013733937,-0.19590275,0.33415154
1404501200,0.010655797,-0.19590275,0.34330782
1404524640,0.010655797,-0.19590275,0.33720362
1404548275,0.016812079,-0.19590275,0.34330782
1404571714,0.013733937,-0.19590275,0.3402557
1404594198,0.019890219,-0.19590275,0.33720362
1404640706,0.019890219,-0.19590275,0.3402557
1404663991,0.016812079,-0.19590275,0.3402557
1404686259,0.019890219,-0.19590275,0.33415154
1404710259,0.022968361,-0.19590275,0.33415154
1404733315,0.019890219,-0.19590275,0.3402557
1404756285,0.019890219,-0.19590275,0.33415154
1404779253,0.016812079,-0.19590275,0.33415154
