timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
1402897259,1402897259,0,0,0,0,0,0,0,0,0,0,0
1403855478,1403855478,0,0,0,0,0,0,0,0,0,0,0
1404953428,1404953428,0,0,0,0,0,0,0,0,0,0,0
1405976362,1405976362,0,0,0,0,0,0,0,0,0,0,0
1406985303,1406985303,0,0,0,0,0,0,0,0,0,0,0
1407849418,1407849418,0,0,0,0,0,0,0,0,0,0,0
1409052737,1409052737,0,0,0,0,0,0,0,0,0,0,0
1409867361,1409867361,0,0,0,0,0,0,0,0,0,0,0
1410881295,1410881295,0,0,0,0,0,0,0,0,0,0,0
1411836592,1411836592,0,0,0,0,0,0,0,0,0,0,0
1412883486,1412883486,0,0,0,0,0,0,0,0,0,0,0
1413865715,1413865715,0,0,0,0,0,0,0,0,0,0,0
1414997292,1414997292,0,0,0,0,0,0,0,0,0,0,0
1415920166,1415920166,0,0,0,0,0,0,0,0,0,0,0
1416920310,1416920310,0,0,0,0,0,0,0,0,0,0,0
1417820346,1417820346,0,0,0,0,0,0,0,0,0,0,0
1418934922,1418934922,0,0,0,0,0,0,0,0,0,0,0
1419940162,1419940162,0,0,0,0,0,0,0,0,0,0,0
1420933519,1420933519,0,0,0,0,0,0,0,0,0,0,0
1421956945,1421956945,0,0,0,0,0,0,0,0,0,0,0
1422890303,1422890303,0,0,0,0,0,0,0,0,0,0,0
1423993674,1423993674,0,0,0,0,0,0,0,0,0,0,0
1424971289,1424971289,0,0,0,0,0,0,0,0,0,0,0
1425906954,1425906954,0,0,0,0,0,0,0,0,0,0,0
1427004452,1427004452,0,0,0,0,0,0,0,0,0,0,0
1427932900,1427932900,0,0,0,0,0,0,0,0,0,0,0
1428877310,1428877310,0,0,0,0,0,0,0,0,0,0,0
1429920276,1429920276,0,0,0,0,0,0,0,0,0,0,0
1430992578,1430992578,0,0,0,0,0,0,0,0,0,0,0
1431956335,1431956335,0,0,0,0,0,0,0,0,0,0,0
1432972847,1432972847,0,0,0,0,0,0,0,0,0,0,0
1433939016,1433939016,0,0,0,0,0,0,0,0,0,0,0
1434831691,1434831691,0,0,0,0,0,0,0,0,0,0,0
1435941890,1435941890,0,0,0,0,0,0,0,0,0,0,0
1436891769,1436891769,0,0,0,0,0,0,0,0,0,0,0
1438001630,1438001630,0,0,0,0,0,0,0,0,0,0,0
1438936161,1438936161,0,0,0,0,0,0,0,0,0,0,0
1439867280,1439867280,0,0,0,0,0,0,0,0,0,0,0
1440988562,1440988562,0,0,0,0,0,0,0,0,0,0,0
1442099490,1442099490,0,0,0,0,0,0,0,0,0,0,0
1443108556,1443108556,0,0,0,0,0,0,0,0,0,0,0
1443975447,1443975447,0,0,0,0,0,0,0,0,0,0,0
1444827167,1444827167,0,0,0,0,0,0,0,0,0,0,0
1446061931,1446061931,0,0,0,0,0,0,0,0,0,0,0
1447044706,1447044706,0,0,0,0,0,0,0,0,0,0,0
1448095536,1448095536,0,0,0,0,0,0,0,0,0,0,0
1448817297,1448817297,0,0,0,0,0,0,0,0,0,0,0
1449930296,1449930296,0,0,0,0,0,0,0,0,0,0,0
1450881287,1450881287,0,0,0,0,0,0,0,0,0,0,0
1451905286,1451905286,0,0,0,0,0,0,0,0,0,0,0
1452840300,1452840300,0,0,0,0,0,0,0,0,0,0,0
1453969535,1453969535,0,0,0,0,0,0,0,0,0,0,0
1454909481,1454909481,0,0,0,0,0,0,0,0,0,0,0
1455917732,1455917732,0,0,0,0,0,0,0,0,0,0,0
1456852439,1456852439,0,0,0,0,0,0,0,0,0,0,0
1457945254,1457945254,0,0,0,0,0,0,0,0,0,0,0
1458828302,1458828302,0,0,0,0,0,0,0,0,0,0,0
1459948290,1459948290,0,0,0,0,0,0,0,0,0,0,0
1460871056,1460871056,0,0,0,0,0,0,0,0,0,0,0
1461933347,1461933347,0,0,0,0,0,0,0,0,0,0,0
1462875306,1462875306,0,0,0,0,0,0,0,0,0,0,0
1465002832,1465002832,0,0,0,0,0,0,0,0,0,0,0
1465966301,1465966301,0,0,0,0,0,0,0,0,0,0,0
1466904409,1466904409,0,0,0,0,0,0,0,0,0,0,0
1467901952,1467901952,0,0,0,0,0,0,0,0,0,0,0
1468899978,1468899978,0,0,0,0,0,0,0,0,0,0,0
1469953227,1469953227,0,0,0,0,0,0,0,0,0,0,0
1470885574,1470885574,0,0,0,0,0,0,0,0,0,0,0
1472033967,1472033967,0,0,0,0,0,0,0,0,0,0,0
1472855553,1472855553,0,0,0,0,0,0,0,0,0,0,0
1473991285,1473991285,0,0,0,0,0,0,0,0,0,0,0
1474863270,1474863270,0,0,0,0,0,0,0,0,0,0,0
1475905895,1475905895,0,0,0,0,0,0,0,0,0,0,0
1476811579,1476811579,0,0,0,0,0,0,0,0,0,0,0
