timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1399021613,-0.017009936,0.0043036668,-0.00016509369,-0.99934584,-0.0045554764,-0.0035879908,0.035698913,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1399049599,0.01074392,-0.08077106,0.011179573,-0.999343,-0.0045304913,-0.0032631077,0.035811417,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1399081589,-0.06478982,-0.07550481,0.010554321,-0.99934405,-0.0040221233,-0.0026944815,0.035889875,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402207024,-0.016601808,-0.112093255,0.0236191,-0.99995685,0.0020890397,0.0036048654,0.008314125,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402239232,-0.02794836,0.06673589,0.016137395,-0.9999559,0.0022725433,0.0035842294,0.0083763795,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402271203,-0.017068664,-0.060183905,-0.027872574,-0.99995387,0.002674972,0.003698512,0.008455288,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402303337,-0.0044497345,0.020345885,-0.030938126,-0.9999533,0.0028824501,0.0037153687,0.008444982,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402335216,-0.050484475,-0.056690324,0.01477941,-0.9999528,0.0031611694,0.0037652175,0.008387286,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402367166,-0.0116989445,0.17196895,-0.004944022,-0.99995285,0.0035919053,0.0034472665,0.008350115,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402395291,0.0053478307,0.14223796,0.0077190367,-0.9999539,0.0036324277,0.0033467307,0.008238425,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402427219,0.008886262,-0.006115307,-0.016314045,-0.9999547,0.0036650144,0.0033818951,0.008117893,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1402459013,0.005820519,-0.06449628,-0.013982611,-0.99995524,0.0037356054,0.0034184104,0.0079971785,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
